src,dst
394809,393911
393910,393912
393911,393912
393914,393915
393045,393915
394516,393919
393047,393919
394137,393921
393203,393921
393921,393922
394825,393922
393922,393923
393924,393923
393761,393926
394523,393926
395018,393932
402027,393932
393932,393933
394145,393933
393933,393934
393449,393934
392831,393934
393934,393935
391987,393935
393935,393936
391451,393936
393936,393937
390607,393937
393937,393938
391796,393938
393938,393939
389752,393939
393939,393940
390106,393940
393940,393941
388802,393941
393941,393942
387283,393942
393942,393943
388627,393943
393943,393944
387477,393944
393944,393945
386958,393945
393945,393946
384806,393946
393946,393947
384160,393947
393947,393948
387900,393948
393948,393949
386267,393949
393949,393950
383477,393950
393950,393951
382887,393951
393951,393952
384494,393952
393952,393953
382390,393953
393953,393954
383303,393954
393954,393955
381565,393955
381891,393955
393955,393956
380930,393956
393956,393957
379328,393957
393957,393958
378622,393958
393958,393959
377817,393959
393959,393960
381080,393960
393960,393961
379763,393961
393961,393962
377816,393962
393962,393963
377469,393963
393963,393964
376961,393964
393964,393965
376960,393965
393965,393966
375904,393966
393966,393967
374342,393967
393967,393968
376294,393968
393968,393969
376632,393969
525079,525067
525767,525067
525067,525068
523491,525068
524785,525069
525068,525069
525069,525070
528524,525070
525070,525071
527507,525071
524919,525072
525071,525072
525072,525073
525287,525073
525633,525075
525926,525075
525074,525076
525075,525076
525076,525077
525925,525077
525077,525078
525476,525078
525078,525079
523829,525079
524643,525082
525086,525082
525082,525083
525638,525083
524923,525084
525083,525084
525084,525085
523833,525085
527831,525088
524192,525088
524387,525089
525088,525089
525089,525090
525774,525090
526616,525090
525090,525091
525486,525091
393927,394143
395221,394143
525932,525292
526261,525292
524931,525293
525292,525293
314280,314281
314731,314281
394134,394296
394966,394296
393754,394308
394311,394308
394308,394309
394824,394309
394309,394310
394657,394310
394314,394315
395931,394315
393225,394319
393931,394319
525481,525482
527682,525482
525482,525483
525934,525483
327880,327881
328441,327881
393908,393428
394131,393428
395198,394500
395365,394500
393913,394501
394298,394501
394501,394502
394967,394502
394502,394503
396852,394503
396853,394503
394503,394504
394968,394504
394504,394505
395369,394505
394300,394506
394505,394506
393915,394507
394969,394507
394507,394508
393432,394508
393581,394509
394508,394509
393917,394512
393918,394512
394511,394512
393585,394513
394512,394513
394513,394514
393436,394514
394514,394515
394517,394515
394515,394516
393201,394516
393749,393434
394136,393434
524778,525629
525065,525629
524501,525630
525629,525630
525768,525634
526770,525634
526414,525636
526613,525636
525094,525640
525297,525640
393224,393444
393930,393444
393444,393445
395015,393445
394526,393446
393445,393446
393446,393447
392451,393447
393971,393448
393054,393448
393970,393449
393448,393449
395550,394652
397169,394652
394651,394653
394652,394653
525632,525766
526977,525766
525766,525767
526769,525767
525081,525770
525930,525770
358374,358771
358770,358771
349781,349782
350590,349782
501800,502704
502703,502704
501264,502705
502704,502705
403348,394812
405991,394812
394812,394813
395370,394813
394310,394814
394813,394814
394814,394815
392657,394815
394815,394816
392658,394816
394816,394817
391312,394817
394817,394818
392126,394818
394818,394819
390257,394819
394819,394820
390747,394820
394820,394821
388613,394821
394821,394822
387884,394822
394822,394823
389364,394823
505337,506341
506740,506341
506341,506342
507125,506342
394302,394969
395199,394969
396133,394971
396860,394971
394305,394972
394971,394972
395922,394972
394972,394973
395208,394973
394973,394974
392653,394974
394811,394975
394974,394975
394975,394976
393198,394976
394976,394977
392654,394977
394977,394978
391590,394978
394978,394979
392429,394979
394979,394980
390595,394980
394980,394981
393200,394981
394981,394982
391437,394982
394510,394984
394983,394984
394984,394985
395923,394985
394985,394986
394987,394986
396351,394986
394518,394988
394994,394988
394988,394989
396134,394989
394989,394990
397048,394990
394990,394991
397177,394991
394991,394992
397176,394992
394306,394993
394992,394993
396146,394997
402852,394997
394140,394998
394997,394998
394998,394999
395373,394999
394139,395000
394999,395000
393762,395001
395000,395001
395001,395002
392828,395002
395002,395003
393208,395003
395003,395004
391983,395004
395004,395005
392665,395005
395005,395006
390465,395006
395006,395007
389916,395007
390275,395007
395007,395008
389377,395008
395008,395009
389579,395009
395009,395010
388077,395010
395010,395011
389582,395011
394664,395016
395741,395016
395571,395017
395379,395017
394831,395018
395017,395018
525637,526104
526105,526104
526265,526109
526474,526109
526109,526110
526992,526110
526417,526256
526773,526256
526256,526257
526990,526257
525479,526258
526257,526258
526258,526259
526416,526259
526259,526260
522150,526260
525093,526262
526107,526262
526266,526264
526775,526264
526264,526265
526995,526265
395921,395202
396350,395202
394970,395203
395202,395203
393750,395204
395203,395204
395205,395206
396130,395206
395206,395207
396131,395207
393435,395208
395207,395208
395217,395210
395371,395210
395209,395211
395210,395211
394522,395212
395211,395212
394313,395213
395212,395213
393439,395214
395213,395214
393438,395215
395214,395215
395215,395216
392436,395216
394995,395217
395562,395217
395013,395222
396147,395222
459868,459087
460343,459087
328015,328016
328814,328016
458629,459092
458966,459092
459876,459093
463116,459093
456589,459094
459093,459094
328023,328024
330126,328024
329268,328025
328024,328025
326092,328026
328025,328026
328026,328027
328815,328027
325927,328028
328027,328028
328028,328029
328816,328029
525284,526405
526404,526405
526765,526405
526405,526406
526972,526406
525927,526410
525928,526410
525929,526411
526103,526411
525639,526421
525773,526421
524799,526423
528206,526423
526423,526424
528204,526424
525296,526425
526424,526425
526108,526426
526425,526426
526426,526427
530021,526427
526427,526428
528535,526428
526428,526429
527525,526429
526262,526430
526429,526430
525488,526431
526430,526431
526431,526432
527836,526432
524935,526433
526432,526433
526433,526434
523839,526434
524388,526435
526434,526435
522994,526435
526435,526436
521661,526436
526436,526437
522993,526437
394805,395366
395913,395366
526438,526439
522521,526439
526439,526440
519915,526440
526440,526441
519447,526441
526441,526442
520602,526442
395926,395371
396137,395371
526443,526444
519141,526444
526444,526445
518269,526445
526445,526446
518278,526446
526446,526447
516491,526447
526447,526448
516157,526448
393929,395377
395376,395377
526449,526450
513801,526450
526450,526451
514015,526451
526451,526452
514014,526452
526452,526453
516652,526453
526453,526454
516156,526454
526454,526455
516004,526455
526455,526456
513800,526456
526456,526457
513663,526457
526457,526458
516490,526458
526458,526459
513498,526459
526459,526460
513662,526460
526460,526461
516489,526461
526461,526462
516488,526462
526462,526463
514768,526463
526463,526464
515751,526464
526464,526465
520062,526465
526465,526466
516324,526466
526466,526467
517773,526467
526467,526468
520782,526468
526468,526469
517449,526469
526469,526470
519444,526470
526470,526471
514927,526471
526471,526472
516649,526472
526472,526473
516155,526473
526994,526474
526993,526474
546522,546511
546510,546511
546511,546512
548974,546512
546512,546513
547307,546513
546513,546514
550290,546514
546514,546515
550668,546515
546515,546516
551965,546516
546517,546518
547308,546518
547830,546518
546518,546519
547831,546519
526410,526606
526411,526606
526606,526607
528193,526607
526607,526608
527679,526608
530506,526608
